Herd Management Records by State,,,,,,
,,,,,,
State,HerdAreaAcresBLM,HerdAreaAcresOther,HerdManagementAreaAcresBLM,HerdManagementAreaAcresOther,NumHorses,NumBurros
AZ,2019932,1617998,1756086,1327777,390,1967
CA,4810248,1813228,1946590,471855,4057,895
CO,658119,76572,366098,38656,772,0
ID,428421,49235,377907,40287,913,0
MT,104361,119242,28282,8865,195,0
NV,19076183,3073205,13580401,1668864,16642,819
NM,88653,37874,24505,4107,114,0
OR,3565790,773754,2703409,259726,2508,15
UT,3150220,676855,2174850,310747,2495,142
WY,6389094,2786158,3638330,1137121,5016,0
